Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adresse du laboratoire;Contact pour candidature;adresse mail;Téléphone;Site internet;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Polyvalent sans microbio;privé;EUROFINS Clinique 4 pavillons;"    ; 2021_i=2  ; 2020_i=1  ; 2019_i=2    ; 2017_i=2  ; 2016_i=1    ; 2014_i=1";24 rue de Cavailles 33 310 LORMONT;05 56 33 87 00;;Mme Nesme;;;;;;;;;;;x;;;;x;;x;x;;;x;x;x;xx;;;;;;;;;24 rue de Cavailles 33 310 LORMONT;Mme Nesme;ClementineNesme@eurofins-biologie.com;05 56 33 87 00;https://www.eurofins-biologie-medicale.com/fr/nos-laboratoires/lormont/;44.86485131975442, -0.5220317806305282;;;;;;;;;;;;;0;;2;;1;;2;;0;;2;;1;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;LABEXA Site Haillan - bioch hémato immuno (patient de ville);"  ; 2022_i=1        ; 2018_i=1    ; 2016_i=1    ; 2014_i=2";75 rue de la Morandière 33 185 LE HAILLAN ;05 56 46 50 50;DRH : Mme ESTIENNE                                       Pour tous les sites Labexa, écrire au service RH (Morgane Bani) : m.bani@labexa.fr et faire un autre courrier aux biologistes;M. Danglade;;;;;;;x;;;;x;x;;;;x;;;x;;;;;;x;;;;;;;;75 rue de la Morandière 33 185 LE HAILLAN ;M. Danglade;d.danglade@exalab.fr et service RH :  m.bani@labexa.fr;05 56 46 50 50;https://www.labexa.fr/;44.86195988248489, -0.6786901134328587;;;;;;;;;;;;;1;;0;;0;;0;;1;;0;;1;;0;;2;;;;;;;;;;;;;;;;;;
Microbio;privé;LABEXA Site Haillan- microbio;"    ; 2021_i=1    ; 2019_i=1  ; 2018_i=1  ; 2017_i=3  ; 2016_i=1  ; 2015_i=1  ; 2014_i=2";75 rue de la Morandière 33 185 LE HAILLAN ;05 56 46 50 50;;Mme Moroté;;;;;;;;;;;x;x;;x;;x;xx;x;x;;x;;;x;;;;;;;;;75 rue de la Morandière 33 185 LE HAILLAN ;Mme Moroté;c.morote@exalab.fr et service RH :  m.bani@labexa.fr;05 56 46 50 50;https://www.labexa.fr/;44.86195988248489, -0.6786901134328587;;;;;;;;;;;;;0;;1;;0;;1;;1;;3;;1;;1;;2;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;LABEXA Site de St Augustin - bioch hémato immuno (patient hospitalisés);"  ; 2022_i=1  ; 2021_i=1  ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";114 avenue d'Ares 33 000 BORDEAUX;05 56 99 37 00 ;;Mme Pedeboscq;;;;;;;;;;;;;;;;;;;;x;;x;x;x;x;;;;;;;;114 avenue d'Ares 33 000 BORDEAUX;Mme Pedeboscq;a.pedeboscq@exalab.fr;05 56 99 37 00 ;https://www.labexa.fr/;44.83645247115421, -0.605580726145446;;;;;;;;;;;;;1;;1;;1;;1;;1;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;LABEXA Site Clinique Saint Martin (activité réduite aux urgences) ;"            ; 2017_i=2    ; 2015_i=1  ; 2014_i=1";60 all Tulipes 33 600 PESSAC  ;05 56 15 73 20;;M. Laroussi;;;;;;;;x;x;xx;x;;x;;;;xx;;;;;;;;;;;;;;;;60 all Tulipes 33 600 PESSAC  ;M. Laroussi;n.laroussi@exalab.fr et service RH :  m.bani@labexa.fr;05 56 15 73 20;https://www.labexa.fr/;44.79161821823778, -0.6292597291842101;;;;;;;;;;;;;0;;0;;0;;0;;0;;2;;0;;1;;1;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;LABEXA Site BLAYE (activité réduite aux urgences);"    ; 2021_i=1              ";118 rue de l'Hôpital  BLAYE   ;05 57 42 64 64;;Mme Maziarczyk;;;;x;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;118 rue de l'Hôpital  BLAYE   ;Mme Maziarczyk;j.hornych@exalab.fr;05 57 42 64 64;https://www.labexa.fr/;45.13627951456976, -0.6565029631656794;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LABEXA (ancien ACCOLAB) Clinique mutualiste;"  ; 2022_i=2  ; 2021_i=3  ; 2020_i=2  ; 2019_i=4    ; 2017_i=1      ; 2014_i=1";48 av Doct Albert Schweitzer 33 600 PESSAC  ;05 56 46 16 16;florence.chaleat@accolab.com;Mme Chaléat;;;;;;;;;x;;x;;;;;;;x;;;xx;xx;xx;xxx;xx;;;;;;;;48 av Doct Albert Schweitzer 33 600 PESSAC  ;Mme Chaléat;florence.chaleat@accolab.com;05 56 46 16 16;https://www.labexa.fr/;44.80624838398576, -0.6089826287789677;;;;;;;;;;;;;2;;3;;2;;4;;0;;1;;0;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;LABEXA (ancien ACCOLAB) Clinique de Lesparre;"    ; 2021_i=1      ; 2018_i=1        ; 2014_i=1";7 cours du Maréchal Leclerc 33 440 LESPARRE MEDOC ;05 56 73 34 81;;Mme Willers;;;;;;;;x;;;x;;;;;;;;x;;;;;x;;;;;;;;;7 cours du Maréchal Leclerc 33 440 LESPARRE MEDOC ;Mme Willems;sandra.willems@accolab.com;05 56 73 34 81;https://www.labexa.fr/;45.306643976718384, -0.9425143017826075;;;;;;;;;;;;;0;;1;;0;;0;;1;;0;;0;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LABEXA (ancien SEALAB);"    ; 2021_i=1              ";2 Avenue Pierre Larramendy, 64 500 ST JEAN DE LUZ;05 59 55 96 69;;M. Rivieccio;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;2 Avenue Pierre Larramendy, 64 500 ST JEAN DE LUZ;M. Rivieccio;;05 59 55 96 69;https://www.labexa.fr/;43.384821372108924, -1.6620400282962398;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;SYNLAB;"      ; 2020_i=1            ";12 rue Georges Nègrevergne 33 700 MERIGNAC ;05 56 55 05 55;julien.bondaz@ba.synlab.fr;M. Bondaz;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;12 rue Georges Nègrevergne 33 700 MERIGNAC ;Mme Gachet;marie-laure-gachet@ba.synlab.fr;05 56 55 05 55;http://www.ba.synlab.fr/laboratoire/default.aspx#.YVCWlH06_cs;44.81735194551046, -0.6802278883041123;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
PMA;privé;SYNLAB - procréation médicalement assistée;"        ; 2019_i=1          ";14 pl Amélie Raba Léon 33 000 BORDEAUX     ;05 56 98 99 23;;Mme Servant;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;14 pl Amélie Raba Léon 33 000 BORDEAUX     ;Mme Servant;valerie.servant-le-cam@labo-anabio.fr;05 56 98 99 23;http://www.ba.synlab.fr/laboratoire/default.aspx#.YVCWlH06_cs;44.830949181382046, -0.6033388576144608;;;;;;;;;;;;;0;;0;;0;;1;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;SYNLAB;"            ; 2017_i=1      ";66 avenue de la libération 33 740 ARES  ;05 56 03 86 46;;Mme Moresa;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;66 avenue de la libération 33 740 ARES  ;M. Isidore;alexandre.isidore@ba.synlab.fr;05 56 03 86 46;http://www.ba.synlab.fr/laboratoire/default.aspx#.YVCWlH06_cs;44.757583040980634, -1.1195724594695202;;;;;;;;;;;;;0;;0;;0;;0;;0;;1;;0;;0;;0;;;;;;;;;;;;;;;;;;
Microbio;privé;SYNLAB***  (Bactério) : ***transfert à MERIGNAC printemps 2022;"          ; 2018_i=2        ; 2014_i=1"; 1 place Maréchal de Turenne, 33 350 CASTILLON LA BATAILLE;05 57 48 10 20;;M. Maroye;;;;;;;;;;x;;x;;;;;;;x;x;;;;;;;;;;;;;12 rue Georges Nègrevergne 33 700 MERIGNAC ;M. Maroye;pascal.maroye@aquitaine.synlab.fr;05 57 48 10 20;http://www.ba.synlab.fr/laboratoire/default.aspx#.YVCWlH06_cs;44.81735194551046, -0.6802278883041123;;;;;;;;;;;;;0;;0;;0;;0;;2;;0;;0;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;SYNLAB  (Bioch, hémato, séro);"        ; 2019_i=1  ; 2018_i=1        "; 1 place Maréchal de Turenne, 33 350 CASTILLON LA BATAILLE;05 57 40 25 05;;Mme Parizano;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;; 1 place Maréchal de Turenne, 33 350 CASTILLON LA BATAILLE;Mme Parizano;castillon@na.synlab.fr;05 57 40 25 05;http://www.ba.synlab.fr/laboratoire/default.aspx#.YVCWlH06_cs;44.853070731860015, -0.04301558645004252;;;;;;;;;;;;;0;;0;;0;;1;;1;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;CES (CPAM);"    ; 2021_i=1        ; 2017_i=1      ";CES (CPAM), 5 avenue Robert Schuman, 33 130 BEGLES;05 56 39 38 75;;Mme De Fritsch;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;CES (CPAM), 5 avenue Robert Schuman, 33 130 BEGLES;Mme De Fritsch;elsa.de-fritsch@cpam-bordeaux.cnamts.fr;05 56 39 38 75;https://www.constances.fr/centres-examens-sante/33-bordeaux.php;44.81209178382084, -0.5511567306319328;;;;;;;;;;;;;0;;1;;0;;0;;0;;1;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;UNILABS - BIOLIB;"                  ; 2014_i=1";13 avenue Gallieni  33 500 LIBOURNE;05 57 55 38 48;;Mme Boucher;x;;;x;x;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;13 avenue Gallieni  33 500 LIBOURNE;Mme Boucher;laboratoire.gallieni@unilabs.com;05 57 55 38 48;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire Fernandez;"        ; 2019_i=1    ; 2017_i=2  ; 2016_i=2  ; 2015_i=1  ; 2014_i=1";16 r François Legallais 33 120 ARCACHON  ;05 56 83 17 15;;M. Fernandez;;;;;;x;;;;;x;;x;;x;x;x;x;;;x;;;;;;;;;;;;16 r François Legallais 33 120 ARCACHON  ;M. Fernandez;;05 56 83 17 15;;44.66257009888885, -1.174149959472059;;;;;;;;;;;;;0;;0;;0;;1;;0;;2;;2;;1;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire Val de Garonne;"      ; 2020_i=1          ; 2015_i=2  ; 2014_i=1";Dumes 33 210 LANGON     ;05 57 98 06 06;;Mme Angla-Gré;;x;x;x;x;;x;;;x;x;;x;x;;;;;;;;;x;;;;;;;;;;Dumes 33 210 LANGON     ;Mme Angla-Gré;m.anglagre@live.fr;05 57 98 06 06;https://www.laboratoire-valdegaronne.com/;44.54772016999497, -0.24396283435844737;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;;0;;2;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LBM Olivot-Mariotti,;"        ; 2019_i=1  ; 2018_i=1  ; 2017_i=2  ; 2016_i=1  ; 2015_i=1  ; 2014_i=1"; 1 rue du Docteur Delmas, 47 550 BOÉ;05 53 77 15 15;;Mme Mariotti;;;;;;;;;;;;;;;;;x;x;;x;x;;;;;;;;;;;; 1 rue du Docteur Delmas, 47 550 BOÉ;Mme Mariotti;service-qualite@labo-olivot.fr;05 53 77 15 15;https://www.labo-olivot.fr/;44.18904716166701, 0.6286247768252013;;;;;;;;;;;;;0;;0;;0;;1;;1;;2;;1;;1;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;NOVABIO;"  ; 2022_i=1        ; 2018_i=1  ; 2017_i=1      ; 2014_i=1";Av de Borie Marty 24 660 NOTRE DAME DE SANILHAC;05 53 02 18 18;;M. Millaret;;;;;;;;;;;;x;;;;;x;;x;;;;;;x;;;;;;;;Av de Borie Marty 24 660 NOTRE DAME DE SANILHAC;M. Millaret;a.millaret@novabio.fr;05 53 02 18 18;https://www.novabio.fr/;45.13741076335618, 0.6981999009698192;;;;;;;;;;;;;1;;0;;0;;0;;1;;1;;0;;0;;1;;;;;;;;;;;;;;;;;;
Polyvalent;privé;NOVABIO;"          ; 2018_i=1      ; 2015_i=1  ";17 rue Mounet Sully 24100 BERGERAC;05 53 63 55 55;;M. Doermann;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;17 rue Mounet Sully 24100 BERGERAC;M. Doermann;hp.doermann@novabio.fr;05 53 63 55 55;https://www.novabio.fr/;44.853236825423565, 0.4827091828606758;;;;;;;;;;;;;0;;0;;0;;0;;1;;0;;0;;1;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;NOVABIO;"  ; 2022_i=1                ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32, Boulevard Charles Garrau - 33 220 SAINTE-FOY-LA-GRANDE;Mme Baron;sylvie.baron@novabio.fr;05 57 41 99 33;https://www.novabio.fr/;44.83953962461541, 0.22098564238576818;;;;;;;;;;;;;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LABOFFICE Le Clinical;                  ;87 avenue du Général de Gaulle, 16 800 SOYAUX;05 45 94 05 51;;M. Eurieult;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;2 Chem. de Fregeneuil, 16800 Soyaux;M. Eurieult;contact@laboffice.fr;05 45 94 50 05;https://www.laboffice.fr/;45.63635612731364, 0.20302844240702983;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LABOFFICE;"        ; 2019_i=1        ; 2015_i=1  ";126 rue de Périgueux ANGOULEME;05 45 92 11 65;;Mme L'Horset;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;126 rue de Périgueux ANGOULEME;Mme L'Horset;contact@laboffice.fr;05 45 92 11 65;https://www.laboffice.fr/;45.647787383247206, 0.16836124055424945;;;;;;;;;;;;;0;;0;;0;;1;;0;;0;;0;;1;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;CERBALLIANCE Site de Barbezieux;"                ; 2015_i=1  ";Chemin Triquedondaine, 16 300 BARBEZIEUX ;05 45 78 14 81;;M. Coutant;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;Chemin Triquedondaine, 16 300 BARBEZIEUX ;M. Coutant;labobarbezieux.charentes@cerballiance.fr;05 45 78 14 81;https://laboratoires.cerballiance.fr/aquitaine-limousin-poitou-charentes/barbezieux-saint-hilaire/za-de-la-triquedondaine?utm_source=Yext&utm_medium=GMB;45.47357632519173, -0.16291325945044435;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;1;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;LBM FORTE BIO UNILABS;"  ; 2022_i=1                ";16-18 rue des fusillés, 40 100 DAX;06 74 13 32 59;;Mme Rodriguez;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;16-18 rue des fusillés, 40 100 DAX;Mme Rodriguez;laboratoire.dax@unilabs.com;06 74 13 32 59;https://fortebio.unilabs.fr/;43.72394472161715, -1.0541684357960412;;;;;;;;;;;;;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);"      ; 2020_i=1    ; 2018_i=2        ; 2014_i=2";9 rue Frédéric Mistral, 40 100 DAX ;05 58 58 10 40;;Mme Lapeyre;;;;;;;;;;;x;x;;;;;;;x;x;;;x;;;;;;;;;;9 rue Frédéric Mistral, 40 100 DAX ;Mme Lapeyre;catherine.lapeyre@axbioocean.fr;05 58 58 10 40;http://www.axbioocean.fr/;43.70465359220845, -1.061224630608261;;;;;;;;;;;;;0;;0;;1;;0;;2;;0;;0;;0;;2;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);"              ; 2016_i=1    ";28 rue du colonel Melville Lynch 64 600 ANGLET;05 59 08 11 20;;Mme Dupuy;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;28 rue du colonel Melville Lynch 64 600 ANGLET;Mme GARNIER;isabelle.garnier@axbioocean.fr;05 59 08 11 20;http://www.axbioocean.fr/;43.46492521883771, -1.4992836683389499;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;1;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Pl. de la Poustelle, 64300 Orthez;M. Laugé;jerome.lauge@axbioocean.fr;05 59 69 04 96;http://www.axbioocean.fr/;43.49034780372725, -0.7743757460110785;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Clinique Belharra - Ramsay Santé, 2 All. Dr Robert Lafon, 64100 Bayonne;M. Trebesse;laurent.trebesses@axbioocean.fr;05 40 07 84 18;http://www.axbioocean.fr/;43.480089314182074, -1.4531688305272517;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chem. de Mattecu, 40230 Saint-Vincent-de-Tyrosse;Mme de Cazanove;;05 58 77 04 99;http://www.axbioocean.fr/;43.662264685854254, -1.314422086481201;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;privé;Laboratoire AX BIO OCEAN  (Gpe Inovie);                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13 Cr Gallieni, 40100 Dax;Mme Lapeyre;catherine.lapeyre@axbioocean.fr;05 58 58 20 10;http://www.axbioocean.fr/;43.709299324103895, -1.0547302743742202;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
